"","k_1","k_2","k_3","f_1","f_2","f_3","s_1_NR_A_FPKM","s_2_NR_B_FPKM","s_3_CR_A_FPKM","s_4_CR_B_FPKM"
"k_1",0,6734.25145255385,23545.2563219472,29226.7421282184,30295.9801320971,31894.6641058592,62822.1367656506,70411.2019672505,59764.9622705468,59673.9783131296
"k_2",6734.25145255385,0,25605.8714526926,25504.8466549534,26570.1830590532,28960.5171209105,59479.552853554,67485.0201226418,56289.0218627868,56189.8727094637
"k_3",23545.2563219472,25605.8714526926,0,34698.1355363841,35320.7779630974,35757.5844747869,65352.907823453,72717.7908474309,62906.5908537132,63339.2022405914
"f_1",29226.7421282184,25504.8466549534,34698.1355363841,0,2510.79706008585,7373.99308337514,49305.6236128502,58150.8515771586,36544.9704061484,36687.0950010907
"f_2",30295.9801320971,26570.1830590532,35320.7779630974,2510.79706008585,0,6163.30222770527,49788.5785984987,58500.717680372,35752.2697587788,36111.7648825116
"f_3",31894.6641058592,28960.5171209105,35757.5844747869,7373.99308337514,6163.30222770527,0,52483.6978080144,60584.9093166211,34149.5510487506,34659.6796996443
"s_1_NR_A_FPKM",62822.1367656506,59479.552853554,65352.907823453,49305.6236128502,49788.5785984987,52483.6978080144,0,13328.6705694682,50814.438506082,52762.5372905361
"s_2_NR_B_FPKM",70411.2019672505,67485.0201226418,72717.7908474309,58150.8515771586,58500.717680372,60584.9093166211,13328.6705694682,0,57276.9664702278,59855.500673528
"s_3_CR_A_FPKM",59764.9622705468,56289.0218627868,62906.5908537132,36544.9704061484,35752.2697587788,34149.5510487506,50814.438506082,57276.9664702278,0,10019.2616403222
"s_4_CR_B_FPKM",59673.9783131296,56189.8727094637,63339.2022405914,36687.0950010907,36111.7648825116,34659.6796996443,52762.5372905361,59855.500673528,10019.2616403222,0
